Immagine,R2 URL,Prodotto ID,Prodotto Nome,SKU,Match Type,Confidence
"TELECOMANDO RADIO SILENCE-NICO.jpg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/display-cavi-telecomandi/telecomando-radio-silence-nico.jpg","33","TELECOMANDO RADIO MICRONOVA","NULL","name-partial","low"
"TELECOMANDO RADIO SILENCE2.jpg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/display-cavi-telecomandi/telecomando-radio-silence2.jpg","33","TELECOMANDO RADIO MICRONOVA","NULL","name-partial","low"
"TELECOMANDO UNIVERSALE PER STUFE A PELLET.jpg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/display-cavi-telecomandi/telecomando-universale-per-stufe-a-pellet.jpg","34","TELECOMANDO UNIVERSALE PER STUFE A PELLET ELETTRONICA MICRONOVA","NULL","name-partial","medium"
"WhatsApp Image 2017-07-27 at 09.16.10 (2).jpeg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/display-cavi-telecomandi/whatsapp-image-2017-07-27-at-09-16-10-2.jpeg","","","","unmatched","none"
"WhatsApp Image 2017-07-27 at 09.16.10.jpeg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/display-cavi-telecomandi/whatsapp-image-2017-07-27-at-09-16-10.jpeg","","","","unmatched","none"
"WhatsApp Image 2017-07-27 at 09.16.13.jpeg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/display-cavi-telecomandi/whatsapp-image-2017-07-27-at-09-16-13.jpeg","","","","unmatched","none"
"20200430_111621.jpg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/guarnizioni-silicone/20200430-111621.jpg","","","","unmatched","none"
"20200430_111624.jpg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/guarnizioni-silicone/20200430-111624.jpg","","","","unmatched","none"
"20200430_111630.jpg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/guarnizioni-silicone/20200430-111630.jpg","","","","unmatched","none"
"CORDINO.jpg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/guarnizioni-silicone/cordino.jpg","49","CORDINO 9 MM ","NULL","name-partial","medium"
"GUARNIZIONE SILICONICA PER TUBI PELLET.jpg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/guarnizioni-silicone/guarnizione-siliconica-per-tubi-pellet.jpg","50","GUARNIZIONE SILICONICA PER TUBI PELLET","NULL","name-exact","high"
"NASTRO ADESIVO IN FIBRA DI VETRO 550°C 10mm X 1mm.jpg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/guarnizioni-silicone/nastro-adesivo-in-fibra-di-vetro-550-c-10mm-x-1mm.jpg","66","NASTRO ADESIVO IN FIBRA DI VETRO 550°C 10mm X 1mm","NULL","name-exact","high"
"NASTRO ADESIVO IN FIBRA DI VETRO 550°C 10mm X 3mm.jpg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/guarnizioni-silicone/nastro-adesivo-in-fibra-di-vetro-550-c-10mm-x-3mm.jpg","48","NASTRO ADESIVO IN FIBRA DI VETRO 550°C 10mm X 3mm","NULL","name-exact","high"
"WhatsApp Image 2019-05-30 at 10.17.35.jpeg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/guarnizioni-silicone/whatsapp-image-2019-05-30-at-10-17-35.jpeg","","","","unmatched","none"
"WhatsApp Image 2019-05-30 at 10.17.52.jpeg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/guarnizioni-silicone/whatsapp-image-2019-05-30-at-10-17-52.jpeg","","","","unmatched","none"
"WhatsApp Image 2019-05-30 at 10.40.27.jpeg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/guarnizioni-silicone/whatsapp-image-2019-05-30-at-10-40-27.jpeg","","","","unmatched","none"
"95100300.jpg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/motoriduttori/95100300.jpg","","","","unmatched","none"
"951007800.jpg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/motoriduttori/951007800.jpg","","","","unmatched","none"
"951016800.jpg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/motoriduttori/951016800.jpg","","","","unmatched","none"
"951034800.jpg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/motoriduttori/951034800.jpg","","","","unmatched","none"
"951042000.jpg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/motoriduttori/951042000.jpg","","","","unmatched","none"
