id,product_id,image_url,sort_order,alt_text,created_at
193,30,https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/display-cavi-telecomandi/duepi-3-tasti-led.jpg,2,DISPLAY LED A 3 TASTI DUEPI,2026-04-02 10:47:39.779139+00
194,31,https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/display-cavi-telecomandi/pannello-di-emergenza-telecomando-radio-micronova.jpg,0,PANNELLO DI EMERGENZA TELECOMANDO RADIO MICRONOVA,2026-04-02 10:47:39.856792+00
195,32,https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/display-cavi-telecomandi/cavo-flat-display-1200-mm.jpg,0,CAVO FLAT DISPLAY 1200 mm,2026-04-02 10:47:40.001794+00
196,33,https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/display-cavi-telecomandi/telecomando-micronova.jpg,0,TELECOMANDO RADIO MICRONOVA,2026-04-02 10:47:40.149846+00
197,33,https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/display-cavi-telecomandi/telecomando-radio-micronova.jpg,1,TELECOMANDO RADIO MICRONOVA,2026-04-02 10:47:40.302404+00
198,35,https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/schede-elettroniche-sensori/scheda-elettronica-i023-5t.jpeg,0,SCHEDA ELETTRONICA MICRONOVA I023,2026-04-02 10:47:40.374161+00
199,35,https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/schede-elettroniche-sensori/scheda-elettronica-micronova.jpg,1,SCHEDA ELETTRONICA MICRONOVA I023,2026-04-02 10:47:40.526551+00
200,37,https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/schede-elettroniche-sensori/scheda-elettronica-n100-micronova.jpg,0,SCHEDA ELETTRONICA N100 MICRONOVA,2026-04-02 10:47:40.601105+00
201,38,https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/schede-elettroniche-sensori/scheda-elettronica-duepi.jpg,0,SCHEDA ELETTRONICA DUEPI,2026-04-02 10:47:40.75568+00
202,40,https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/bracieri-camere-combustione/braciere-completo-stufe-6-7-8kw-anita-eddy-anna.jpg,0,BRACIERE COMPLETO STUFE 6-7-8KW ANITA-EDDY-ANNA,2026-04-02 10:47:40.919566+00
203,41,https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/bracieri-camere-combustione/griglia-acciao-braciere.jpg,0,GRIGLIA ACCIAO BRACIERE,2026-04-02 10:47:41.083608+00
204,44,https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/sonde-depressori-termostati/pressostato-depressore-0-4-mbar.jpg,0,"PRESSOSTATO / DEPRESSORE 0,4 mbar",2026-04-02 10:47:41.228728+00
205,45,https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/sonde-depressori-termostati/pressostato-depressore-0-6-mbar.jpg,0,"PRESSOSTATO / DEPRESSORE 0,6 mbar",2026-04-02 10:47:41.377144+00
206,46,https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/sonde-depressori-termostati/sonda-temperatura-ambiente-ntc-10k-micronova.jpg,0,SONDA TEMPERATURA AMBIENTE NTC 10K MICRONOVA,2026-04-02 10:47:41.537197+00
207,47,https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/sonde-depressori-termostati/sonda-temperatura-fumi-micronova.jpg,0,SONDA TEMPERATURA FUMI MICRONOVA,2026-04-02 10:47:41.686658+00
208,48,https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/guarnizioni-silicone/nastro-adesivo-in-fibra-di-vetro-550-c-10mm-x-3mm.jpg,0,NASTRO ADESIVO IN FIBRA DI VETRO 550°C 10mm X 3mm,2026-04-02 10:47:41.836638+00
209,50,https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/guarnizioni-silicone/guarnizione-siliconica-per-tubi-pellet.jpg,0,GUARNIZIONE SILICONICA PER TUBI PELLET,2026-04-02 10:47:42.017513+00
210,51,https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/resistenze-accensione/resistenza-ceramica-attacco-38.jpg,0,RESISTENZA CERAMICA ATTACCO 3/8,2026-04-02 10:47:42.17082+00
211,52,https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/schede-elettroniche-sensori/sensore-debimetro-micronova.jpg,0,SENSORE DEBIMETRO MICRONOVA,2026-04-02 10:47:42.320331+00
212,54,https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/ventilatori-aria/ventilatore-aria-centrifugo-rlh1200038-3038lh-2.jpg,0,VENTILATORE ARIA CENTRIFUGO RLH120/0038-3038LH,2026-04-02 10:47:42.466379+00
213,54,https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/ventilatori-aria/ventilatore-aria-centrifugo-rlh1200038-3038lh.jpg,1,VENTILATORE ARIA CENTRIFUGO RLH120/0038-3038LH,2026-04-02 10:47:42.615551+00
214,55,https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/ventilatori-fumi/ventilatore-fumi-con-encoder-e-chiocciola-2.jpg,0,"VENTILATORE FUMI CON ENCODER E CHIOCCIOLA ",2026-04-02 10:47:42.685769+00
215,55,https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/ventilatori-fumi/ventilatore-fumi-con-encoder-e-chiocciola.jpg,1,"VENTILATORE FUMI CON ENCODER E CHIOCCIOLA ",2026-04-02 10:47:42.843337+00
216,56,https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/bracieri-camere-combustione/braciere-susy-perla-catria-evacalor-2.jpg,0,"BRACIERE SUSY-PERLA 7,5 KW EVACALOR",2026-04-02 10:47:42.918991+00
217,56,https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/bracieri-camere-combustione/braciere-susy-perla-catria-evacalor.jpg,1,"BRACIERE SUSY-PERLA 7,5 KW EVACALOR",2026-04-02 10:47:43.06939+00
218,57,https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/display-cavi-telecomandi/display-lcd-elettronica-tiemme.jpg,0,"DISPLAY LCD ELETTRONICA TIEMME ",2026-04-02 10:47:43.143402+00
